date,product,region,price,quantity,revenue
2022-04-30,Headphones,South,17666,24,423984
2022-04-30,Headphones,East,8561,60,513660
2022-04-30,Headphones,West,57251,91,5209841
2022-05-31,Laptop,North,18067,52,939484
2022-05-31,Laptop,South,28599,81,2316519
2022-05-31,Laptop,East,19039,56,1066184
2022-05-31,Laptop,West,35818,123,4405614
2022-05-31,Mobile,North,15965,54,862110
2022-05-31,Mobile,South,10056,120,1206720
2022-05-31,Mobile,East,13110,20,262200
2022-05-31,Mobile,West,22412,122,2734264
2022-05-31,Headphones,North,58640,34,1993760
2022-05-31,Headphones,South,27361,61,1669021
2022-05-31,Headphones,East,28419,82,2330358
2022-05-31,Headphones,West,55015,71,3906065
2022-06-30,Laptop,North,59268,115,6815820
2022-06-30,Laptop,South,27403,48,1315344
2022-06-30,Laptop,East,38827,32,1242464
2022-06-30,Laptop,West,21198,105,2225790
2022-06-30,Mobile,North,27299,85,2320415
2022-06-30,Mobile,South,48689,64,3116096
2022-06-30,Mobile,East,47557,47,2235179
2022-06-30,Mobile,West,34723,127,4409821
2022-06-30,Headphones,North,8627,103,888581
2022-06-30,Headphones,South,53925,94,5068950
2022-06-30,Headphones,East,23047,111,2558217
2022-06-30,Headphones,West,26976,148,3992448
2022-07-31,Laptop,North,6306,140,882840
2022-07-31,Laptop,South,32251,22,709522
2022-07-31,Laptop,East,45294,81,3668814
2022-07-31,Laptop,West,8748,70,612360
2022-07-31,Mobile,North,18545,78,1446510
2022-07-31,Mobile,South,33021,115,3797415
2022-07-31,Mobile,East,55647,132,7345404
2022-07-31,Mobile,West,56005,71,3976355
2022-07-31,Headphones,North,22675,58,1315150
2022-07-31,Headphones,South,49417,132,6523044
2022-07-31,Headphones,East,6636,132,875952
2022-07-31,Headphones,West,32728,132,4320096
2022-08-31,Laptop,North,33673,149,5017277
2022-08-31,Laptop,South,52323,73,3819579
2022-08-31,Laptop,East,5854,148,866392
2022-08-31,Laptop,West,51717,149,7705833
2022-08-31,Mobile,North,26556,87,2310372
2022-08-31,Mobile,South,57662,142,8188004
2022-08-31,Mobile,East,17688,57,1008216
2022-08-31,Mobile,West,7327,88,644776
2022-08-31,Headphones,North,57083,117,6678711
2022-08-31,Headphones,South,5197,116,602852
2022-08-31,Headphones,East,32848,143,4697264
2022-08-31,Headphones,West,25666,89,2284274
2022-09-30,Laptop,North,56663,112,6346256
2022-09-30,Laptop,South,31370,109,3419330
2022-09-30,Laptop,East,39754,115,4571710
2022-09-30,Laptop,West,6734,71,478114
2022-09-30,Mobile,North,13680,147,2010960
2022-09-30,Mobile,South,28078,101,2835878
2022-09-30,Mobile,East,16111,148,2384428
2022-09-30,Mobile,West,6802,61,414922
2022-09-30,Headphones,North,35306,26,917956
2022-09-30,Headphones,South,51843,109,5650887
2022-09-30,Headphones,East,30199,79,2385721
2022-09-30,Headphones,West,50936,21,1069656
2022-10-31,Laptop,North,36616,67,2453272
2022-10-31,Laptop,South,52357,56,2931992
2022-10-31,Laptop,East,34855,28,975940
2022-10-31,Laptop,West,12400,118,1463200
2022-10-31,Mobile,North,47642,67,3192014
2022-10-31,Mobile,South,56407,73,4117711
2022-10-31,Mobile,East,17183,135,2319705
2022-10-31,Mobile,West,17874,132,2359368
2022-10-31,Headphones,North,37711,123,4638453
2022-10-31,Headphones,South,53354,131,6989374
2022-10-31,Headphones,East,7557,118,891726
2022-10-31,Headphones,West,7200,112,806400
2022-11-30,Laptop,North,7961,147,1170267
2022-11-30,Laptop,South,26357,101,2662057
2022-11-30,Laptop,East,16969,73,1238737
2022-11-30,Laptop,West,55108,87,4794396
2022-11-30,Mobile,North,28328,40,1133120
2022-11-30,Mobile,South,26295,147,3865365
2022-11-30,Mobile,East,51214,147,7528458
2022-11-30,Mobile,West,49064,134,6574576
2022-11-30,Headphones,North,50525,138,6972450
2022-11-30,Headphones,South,22429,57,1278453
2022-11-30,Headphones,East,52333,128,6698624
2022-11-30,Headphones,West,13754,27,371358
2022-12-31,Laptop,North,24738,46,1137948
2022-12-31,Laptop,South,54377,40,2175080
2022-12-31,Laptop,East,59045,116,6849220
2022-12-31,Laptop,West,44790,80,3583200
2022-12-31,Mobile,North,14007,23,322161
2022-12-31,Mobile,South,42410,68,2883880
2022-12-31,Mobile,East,45447,36,1636092
2022-12-31,Mobile,West,23589,65,1533285
2022-12-31,Headphones,North,41212,25,1030300
2022-12-31,Headphones,South,52202,143,7464886
2022-12-31,Headphones,East,38828,43,1669604
2022-12-31,Headphones,West,8420,65,547300
2023-01-31,Laptop,North,50236,114,5726904
2023-01-31,Laptop,South,57322,135,7738470
2023-01-31,Laptop,East,5190,86,446340
2023-01-31,Laptop,West,31641,44,1392204
2023-01-31,Mobile,North,37745,73,2755385
2023-01-31,Mobile,South,5569,86,478934
2023-01-31,Mobile,East,39663,43,1705509
2023-01-31,Mobile,West,50681,51,2584731
2023-01-31,Headphones,North,9014,105,946470
2023-01-31,Headphones,South,23070,146,3368220
2023-01-31,Headphones,East,21538,149,3209162
2023-01-31,Headphones,West,50017,36,1800612
2023-02-28,Laptop,North,32751,62,2030562
2023-02-28,Laptop,South,17533,58,1016914
2023-02-28,Laptop,East,59748,45,2688660
2023-02-28,Laptop,West,43754,69,3019026
2023-02-28,Mobile,North,34592,32,1106944
2023-02-28,Mobile,South,28355,76,2154980
2023-02-28,Mobile,East,50091,39,1953549
2023-02-28,Mobile,West,7368,27,198936
2023-02-28,Headphones,North,11655,134,1561770
2023-02-28,Headphones,South,18403,117,2153151
2023-02-28,Headphones,East,18121,51,924171
2023-02-28,Headphones,West,15966,105,1676430
2023-03-31,Laptop,North,58298,82,4780436
2023-03-31,Laptop,South,55300,77,4258100
2023-03-31,Laptop,East,36289,105,3810345
2023-03-31,Laptop,West,36024,89,3206136
2023-03-31,Mobile,North,58006,73,4234438
2023-03-31,Mobile,South,20338,120,2440560
2023-03-31,Mobile,East,53096,27,1433592
2023-03-31,Mobile,West,24508,79,1936132
2023-03-31,Headphones,North,8051,127,1022477
2023-03-31,Headphones,South,54156,122,6607032
2023-03-31,Headphones,East,26699,25,667475
2023-03-31,Headphones,West,5876,135,793260
2023-04-30,Laptop,North,37093,66,2448138
2023-04-30,Laptop,South,20202,74,1494948
2023-04-30,Laptop,East,12079,71,857609
2023-04-30,Laptop,West,44567,32,1426144
2023-04-30,Mobile,North,42233,143,6039319
2023-04-30,Mobile,South,51185,139,7114715
2023-04-30,Mobile,East,22214,38,844132
2023-04-30,Mobile,West,33251,77,2560327
2023-04-30,Headphones,North,52030,109,5671270
2023-04-30,Headphones,South,30316,136,4122976
2023-04-30,Headphones,East,10949,42,459858
2023-04-30,Headphones,West,6150,148,910200
2023-05-31,Laptop,North,6081,141,857421
2023-05-31,Laptop,South,21896,53,1160488
2023-05-31,Laptop,East,51175,145,7420375
2023-05-31,Laptop,West,10237,67,685879
2023-05-31,Mobile,North,25056,136,3407616
2023-05-31,Mobile,South,50952,35,1783320
2023-05-31,Mobile,East,18500,88,1628000
2023-05-31,Mobile,West,52893,112,5924016
2023-05-31,Headphones,North,13130,95,1247350
2023-05-31,Headphones,South,58401,105,6132105
2023-05-31,Headphones,East,24128,48,1158144
2023-05-31,Headphones,West,14435,88,1270280
2023-06-30,Laptop,North,49078,113,5545814
2023-06-30,Laptop,South,35445,104,3686280
2023-06-30,Laptop,East,34222,119,4072418
2023-06-30,Laptop,West,42220,42,1773240
2023-06-30,Mobile,North,43649,29,1265821
2023-06-30,Mobile,South,19069,88,1678072
2023-06-30,Mobile,East,36843,53,1952679
2023-06-30,Mobile,West,45158,115,5193170
2023-06-30,Headphones,North,46975,88,4133800
2023-06-30,Headphones,South,21364,23,491372
2023-06-30,Headphones,East,32663,43,1404509
2023-06-30,Headphones,West,43646,21,916566
2023-07-31,Laptop,North,34168,147,5022696
2023-07-31,Laptop,South,27687,103,2851761
2023-07-31,Laptop,East,23071,143,3299153
2023-07-31,Laptop,West,31144,120,3737280
2023-07-31,Mobile,North,43155,86,3711330
2023-07-31,Mobile,South,37320,93,3470760
2023-07-31,Mobile,East,22450,63,1414350
2023-07-31,Mobile,West,25764,31,798684
2023-07-31,Headphones,North,43494,65,2827110
2023-07-31,Headphones,South,17161,54,926694
2023-07-31,Headphones,East,32350,100,3235000
2023-07-31,Headphones,West,33761,27,911547
2023-08-31,Laptop,North,28132,109,3066388
2023-08-31,Laptop,South,16261,134,2178974
2023-08-31,Laptop,East,46576,77,3586352
2023-08-31,Laptop,West,29052,133,3863916
2023-08-31,Mobile,North,31092,94,2922648
2023-08-31,Mobile,South,5412,139,752268
2023-08-31,Mobile,East,45355,40,1814200
2023-08-31,Mobile,West,28548,120,3425760
2023-08-31,Headphones,North,23888,118,2818784
2023-08-31,Headphones,South,25463,55,1400465
2023-08-31,Headphones,East,42841,115,4926715
2023-08-31,Headphones,West,28190,56,1578640
2023-09-30,Laptop,North,49811,132,6575052
2023-09-30,Laptop,South,25150,32,804800
2023-09-30,Laptop,East,48286,118,5697748
2023-09-30,Laptop,West,26352,49,1291248
2023-09-30,Mobile,North,51352,132,6778464
2023-09-30,Mobile,South,19397,103,1997891
2023-09-30,Mobile,East,51959,105,5455695
2023-09-30,Mobile,West,58644,38,2228472
2023-09-30,Headphones,North,52280,119,6221320
2023-09-30,Headphones,South,21779,95,2069005
2023-09-30,Headphones,East,9360,47,439920
2023-09-30,Headphones,West,22101,147,3248847
2023-10-31,Laptop,North,37307,102,3805314
2023-10-31,Laptop,South,10486,136,1426096
2023-10-31,Laptop,East,42259,44,1859396
2023-10-31,Laptop,West,36667,142,5206714
2023-10-31,Mobile,North,26972,72,1941984
2023-10-31,Mobile,South,6167,76,468692
2023-10-31,Mobile,East,6062,128,775936
2023-10-31,Mobile,West,29244,61,1783884
2023-10-31,Headphones,North,26689,141,3763149
2023-10-31,Headphones,South,14348,94,1348712
2023-10-31,Headphones,East,11801,95,1121095
2023-10-31,Headphones,West,53136,93,4941648
2023-11-30,Laptop,North,22337,26,580762
2023-11-30,Laptop,South,26677,46,1227142
2023-11-30,Laptop,East,24065,24,577560
2023-11-30,Laptop,West,27556,102,2810712
2023-11-30,Mobile,North,33295,128,4261760
2023-11-30,Mobile,South,31432,105,3300360
2023-11-30,Mobile,East,46459,90,4181310
2023-11-30,Mobile,West,42080,64,2693120
2023-11-30,Headphones,North,30731,55,1690205
2023-11-30,Headphones,South,40909,38,1554542
2023-11-30,Headphones,East,11588,127,1471676
2023-11-30,Headphones,West,43069,110,4737590
2023-12-31,Laptop,North,30289,109,3301501
2023-12-31,Laptop,South,33178,58,1924324
2023-12-31,Laptop,East,20485,145,2970325
2023-12-31,Laptop,West,35355,80,2828400
2023-12-31,Mobile,North,30470,124,3778280
2023-12-31,Mobile,South,47918,20,958360
2023-12-31,Mobile,East,44298,111,4917078
2023-12-31,Mobile,West,5504,132,726528
2023-12-31,Headphones,North,28960,75,2172000
2023-12-31,Headphones,South,22312,136,3034432
2023-12-31,Headphones,East,54285,77,4179945
2023-12-31,Headphones,West,41395,80,3311600
2024-01-31,Laptop,North,42678,99,4225122
2024-01-31,Laptop,South,32509,39,1267851
2024-01-31,Laptop,East,49472,66,3265152
2024-01-31,Laptop,West,22640,68,1539520
2024-01-31,Mobile,North,43413,20,868260
2024-01-31,Mobile,South,47356,73,3456988
2024-01-31,Mobile,East,45821,22,1008062
2024-01-31,Mobile,West,24087,31,746697
2024-01-31,Headphones,North,39121,35,1369235
2024-01-31,Headphones,South,26447,121,3200087
2024-01-31,Headphones,East,28959,136,3938424
2024-01-31,Headphones,West,34703,141,4893123
2024-02-29,Laptop,North,51427,109,5605543
2024-02-29,Laptop,South,41487,79,3277473
2024-02-29,Laptop,East,36921,47,1735287
2024-02-29,Laptop,West,32355,120,3882600
2024-02-29,Mobile,North,9835,65,639275
2024-02-29,Mobile,South,57476,101,5805076
2024-02-29,Mobile,East,54407,66,3590862
2024-02-29,Mobile,West,15136,29,438944
2024-02-29,Headphones,North,24255,49,1188495
2024-02-29,Headphones,South,28793,128,3685504
2024-02-29,Headphones,East,42892,138,5919096
2024-02-29,Headphones,West,6015,52,312780
2024-03-31,Laptop,North,32712,30,981360
2024-03-31,Laptop,South,28833,82,2364306
2024-03-31,Laptop,East,25309,78,1974102
2024-03-31,Laptop,West,11938,117,1396746
2024-03-31,Mobile,North,15344,118,1810592
2024-03-31,Mobile,South,13702,148,2027896
2024-03-31,Mobile,East,5404,74,399896
2024-03-31,Mobile,West,34189,114,3897546
2024-03-31,Headphones,North,14860,121,1798060
2024-03-31,Headphones,South,20106,42,844452
2024-03-31,Headphones,East,28524,72,2053728
2024-03-31,Headphones,West,15916,102,1623432
2024-04-30,Laptop,North,18456,104,1919424
2024-04-30,Laptop,South,43765,20,875300
2024-04-30,Laptop,East,50106,23,1152438
2024-04-30,Laptop,West,26949,132,3557268
2024-04-30,Mobile,North,50543,51,2577693
2024-04-30,Mobile,South,31657,111,3513927
2024-04-30,Mobile,East,52198,91,4750018
2024-04-30,Mobile,West,19489,137,2669993
2024-04-30,Headphones,North,54922,142,7798924
2024-04-30,Headphones,South,37049,31,1148519
2024-04-30,Headphones,East,47944,73,3499912
2024-04-30,Headphones,West,13427,76,1020452
2024-05-31,Laptop,North,27928,131,3658568
2024-05-31,Laptop,South,24198,66,1597068
2024-05-31,Laptop,East,20254,104,2106416
2024-05-31,Laptop,West,17173,85,1459705
2024-05-31,Mobile,North,31698,122,3867156
2024-05-31,Mobile,South,20781,57,1184517
2024-05-31,Mobile,East,47289,117,5532813
2024-05-31,Mobile,West,13017,49,637833
2024-05-31,Headphones,North,30934,110,3402740
2024-05-31,Headphones,South,15209,71,1079839
2024-05-31,Headphones,East,33920,98,3324160
2024-05-31,Headphones,West,59267,49,2904083
2024-06-30,Laptop,North,9854,125,1231750
2024-06-30,Laptop,South,48088,48,2308224
2024-06-30,Laptop,East,44811,93,4167423
2024-06-30,Laptop,West,56984,103,5869352
2024-06-30,Mobile,North,41932,53,2222396
2024-06-30,Mobile,South,12941,72,931752
2024-06-30,Mobile,East,10569,145,1532505
2024-06-30,Mobile,West,41586,62,2578332
2024-06-30,Headphones,North,17015,134,2280010
2024-06-30,Headphones,South,11254,99,1114146
2024-06-30,Headphones,East,11238,137,1539606
2024-06-30,Headphones,West,27415,27,740205
2024-07-31,Laptop,North,50415,44,2218260
2024-07-31,Laptop,South,23271,112,2606352
2024-07-31,Laptop,East,54823,80,4385840
2024-07-31,Laptop,West,16314,40,652560
2024-07-31,Mobile,North,26508,111,2942388
2024-07-31,Mobile,South,42545,80,3403600
2024-07-31,Mobile,East,28061,89,2497429
2024-07-31,Mobile,West,44144,31,1368464
2024-07-31,Headphones,North,23777,65,1545505
2024-07-31,Headphones,South,56745,97,5504265
2024-07-31,Headphones,East,31329,64,2005056
2024-07-31,Headphones,West,21282,92,1957944
2024-08-31,Laptop,North,28321,66,1869186
2024-08-31,Laptop,South,10240,75,768000
2024-08-31,Laptop,East,50162,82,4113284
2024-08-31,Laptop,West,58295,80,4663600
2024-08-31,Mobile,North,9432,45,424440
2024-08-31,Mobile,South,18568,27,501336
2024-08-31,Mobile,East,19178,66,1265748
2024-08-31,Mobile,West,22022,75,1651650
2024-08-31,Headphones,North,50781,33,1675773
2024-08-31,Headphones,South,33699,97,3268803
2024-08-31,Headphones,East,49247,149,7337803
2024-08-31,Headphones,West,21748,33,717684
2024-09-30,Laptop,North,20034,75,1502550
2024-09-30,Laptop,South,10126,22,222772
2024-09-30,Laptop,East,23030,126,2901780
2024-09-30,Laptop,West,43638,37,1614606
2024-09-30,Mobile,North,45441,57,2590137
2024-09-30,Mobile,South,44650,134,5983100
2024-09-30,Mobile,East,40854,138,5637852
2024-09-30,Mobile,West,50540,47,2375380
2024-09-30,Headphones,North,30289,58,1756762
2024-09-30,Headphones,South,56128,36,2020608
2024-09-30,Headphones,East,34926,105,3667230
2024-09-30,Headphones,West,54277,63,3419451
2024-10-31,Laptop,North,9632,32,308224
2024-10-31,Laptop,South,49243,44,2166692
2024-10-31,Laptop,East,47563,86,4090418
2024-10-31,Laptop,West,21616,128,2766848
2024-10-31,Mobile,North,31734,130,4125420
2024-10-31,Mobile,South,31069,53,1646657
2024-10-31,Mobile,East,17910,27,483570
2024-10-31,Mobile,West,17199,132,2270268
2024-10-31,Headphones,North,28275,102,2884050
2024-10-31,Headphones,South,20913,120,2509560
2024-10-31,Headphones,East,24123,45,1085535
2024-10-31,Headphones,West,53447,78,4168866
2024-11-30,Laptop,North,22260,140,3116400
2024-11-30,Laptop,South,55612,40,2224480
2024-11-30,Laptop,East,55885,89,4973765
2024-11-30,Laptop,West,10622,131,1391482
2024-11-30,Mobile,North,32139,113,3631707
2024-11-30,Mobile,South,57669,81,4671189
2024-11-30,Mobile,East,15589,114,1777146
2024-11-30,Mobile,West,25119,74,1858806
2024-11-30,Headphones,North,18046,50,902300
2024-11-30,Headphones,South,55215,55,3036825
2024-11-30,Headphones,East,14111,25,352775
2024-11-30,Headphones,West,46427,94,4364138
2024-12-31,Laptop,North,27350,137,3746950
2024-12-31,Laptop,South,51685,81,4186485
2024-12-31,Laptop,East,43328,98,4246144
2024-12-31,Laptop,West,15954,45,717930
2024-12-31,Mobile,North,51514,63,3245382
2024-12-31,Mobile,South,11469,137,1571253
2024-12-31,Mobile,East,31386,39,1224054
2024-12-31,Mobile,West,41976,66,2770416
2024-12-31,Headphones,North,7048,109,768232
2024-12-31,Headphones,South,17941,83,1489103
2024-12-31,Headphones,East,47533,56,2661848
2024-12-31,Headphones,West,6917,119,823123
